p cnf 70 343
55 -2 -1 0
11 -61 1 0
-12 -33 -70 0
-11 -15 27 0
50 -23 63 0
40 54 21 0
22 21 -64 0
39 38 -15 0
-30 -11 -65 0
-65 -38 3 0
1 -28 -57 0
25 9 -13 0
-55 65 2 0
28 52 14 0
23 -22 40 0
-3 24 -55 0
-52 -44 51 0
29 36 67 0
-33 -43 65 0
48 -57 -43 0
40 -60 -38 0
61 21 26 0
39 -38 -43 0
43 -26 25 0
53 -44 -65 0
59 -21 -31 0
4 -26 20 0
37 -25 -67 0
61 -22 10 0
18 -30 50 0
54 -33 51 0
9 59 40 0
-58 -49 51 0
-35 -39 52 0
50 -66 58 0
55 -51 -65 0
46 69 -28 0
37 -6 -14 0
42 -15 30 0
47 -34 -68 0
-62 -38 42 0
-20 -39 -21 0
13 10 49 0
-18 64 43 0
-50 53 -60 0
-33 -69 -6 0
-26 64 38 0
-13 -48 -21 0
-15 -17 31 0
-9 39 15 0
-37 38 -15 0
41 62 47 0
14 45 -55 0
1 45 -70 0
68 36 22 0
28 65 43 0
-23 14 1 0
-16 -60 -49 0
-17 33 -6 0
-4 38 32 0
55 15 -53 0
-20 23 -51 0
-6 -12 39 0
69 8 18 0
-40 -62 -19 0
-18 31 -50 0
45 -55 -22 0
-10 51 60 0
61 -20 -42 0
-19 21 51 0
-14 35 57 0
63 15 -23 0
-59 30 -18 0
-3 -64 44 0
-11 66 9 0
-62 -43 17 0
-38 1 -32 0
-31 -45 -16 0
-2 36 49 0
4 39 9 0
-47 -15 -59 0
-23 -12 -51 0
-53 14 36 0
53 -15 -44 0
-58 -49 52 0
-45 -49 52 0
50 -11 58 0
55 -52 -15 0
41 19 -28 0
47 -1 -24 0
42 -25 40 0
47 -44 -18 0
-12 -48 42 0
-20 -49 -22 0
24 20 49 0
-28 14 44 0
-50 54 -10 0
-44 -19 -1 0
-21 14 48 0
-24 -48 -22 0
-25 -27 42 0
-9 49 25 0
-47 48 -25 0
42 12 47 0
24 45 -55 0
2 45 -70 0
18 41 22 0
28 15 44 0
-24 24 2 0
-21 -10 -49 0
-27 44 -1 0
-4 48 42 0
55 15 -54 0
-20 24 -52 0
-1 -22 49 0
19 8 28 0
-40 -12 -29 0
-28 42 -50 0
45 -55 -22 0
-20 52 10 0
12 -20 -42 0
-29 22 52 0
-24 45 57 0
14 15 -24 0
-59 40 -28 0
-4 -14 44 0
-22 11 9 0
-12 -44 27 0
-48 2 -42 0
-42 -45 -21 0
-2 41 49 0
4 49 9 0
-47 -15 -59 0
-24 -22 -52 0
-54 24 41 0
54 -25 -44 0
